Company,Sector,Year,Revenue (Cr),Net Profit (Cr),EBITDA Margin (%),Debt/Equity,EPS,P/E Ratio,Market Cap (Cr)
HDFC,IT,2010,2076.02,267.15,22.37,1.35,19.07,16.09,32798.74
Infosys,Automobile,2012,1412.82,224.77,17.31,0.99,9.27,14.34,34472.59
ICICI,Energy,2014,1485.94,209.81,12.81,0.79,30.17,24.84,20468.77
Axis Bank,Automobile,2012,1772.48,218.71,22.42,1.24,43.19,25.31,26353.47
Tata Steel,Metals,2023,1586.83,253.76,13.03,0.85,23.13,21.19,30421.29
Mahindra,Metals,2010,1388.03,356.69,7.89,0.87,21.53,20.79,41354.6
Reliance,Automobile,2016,1354.36,38.61,20.83,1.11,27.77,5.91,4020.91
TCS,Finance,2010,1029.96,243.2,14.22,0.6,28.08,13.64,29312.81
Infosys,Finance,2019,1569.88,203.52,16.33,1.11,0.04,17.53,35757.07
TCS,IT,2022,1472.42,185.83,21.47,0.97,31.48,19.23,37506.33
SBI,IT,2015,1368.65,10.94,13.35,0.52,43.75,19.96,27377.14
HDFC,IT,2015,1199.46,246.42,9.99,1.39,25.56,6.36,36884.84
Mahindra,Energy,2023,1229.84,190.0,24.1,0.66,23.91,26.83,29117.18
ICICI,Finance,2016,1685.51,133.25,17.71,0.31,32.95,12.84,43521.95
SBI,Automobile,2021,1764.5,203.4,24.29,0.57,31.76,4.13,19978.19
Wipro,Metals,2020,1401.87,176.58,21.13,0.49,26.73,25.48,22046.09
Mahindra,Finance,2010,1370.26,60.61,21.28,0.86,32.73,13.61,35538.64
TCS,Finance,2020,1243.91,207.05,18.82,1.29,33.2,24.84,37755.84
SBI,Finance,2012,1781.05,246.41,18.81,0.87,13.27,7.79,36027.65
ICICI,IT,2021,1509.3,156.06,23.67,1.28,13.51,17.16,24891.78
Infosys,Energy,2018,1610.37,220.94,22.07,1.12,12.09,13.25,25080.36
Infosys,Automobile,2011,1607.54,208.65,15.05,0.0,9.86,22.75,29854.65
Tata Steel,IT,2023,1407.69,283.64,20.47,1.07,33.11,13.77,16778.86
ICICI,Energy,2014,1150.39,191.7,14.9,0.63,33.13,22.75,20201.15
Infosys,Finance,2012,1201.16,264.09,16.44,0.95,29.48,17.04,47537.03
SBI,Energy,2021,1838.37,174.93,20.84,0.78,41.62,15.4,28002.87
Tata Steel,IT,2021,1282.29,357.39,14.83,1.64,21.92,26.3,23710.89
Infosys,Finance,2022,1376.89,165.05,18.74,0.93,18.1,33.68,23047.4
Mahindra,IT,2014,1159.68,145.2,19.9,0.98,26.23,17.45,33490.17
HDFC,Automobile,2016,1135.18,191.96,16.3,1.12,36.42,14.59,55295.72
Wipro,Finance,2010,1269.25,141.76,21.6,0.35,19.09,19.03,43803.66
ICICI,Energy,2012,2006.52,100.11,15.8,1.13,44.42,20.75,14282.35
SBI,IT,2020,1697.41,258.21,22.71,0.74,24.28,7.44,45398.32
Reliance,Metals,2022,1341.96,-45.01,18.65,0.59,30.13,12.9,19991.47
TCS,Energy,2015,1824.86,142.6,18.86,1.05,26.63,9.46,22225.7
SBI,Energy,2016,1454.31,92.66,13.51,0.35,21.03,11.93,24402.59
Infosys,Finance,2019,1906.3,211.37,16.83,1.08,34.1,30.17,15905.91
SBI,Energy,2012,2163.52,24.87,18.97,0.75,-9.75,3.99,45429.81
Reliance,IT,2013,1808.45,243.83,23.12,0.77,21.61,22.61,23042.38
TCS,Metals,2015,1528.37,252.49,16.39,0.13,32.95,17.41,4821.14
Tata Steel,Automobile,2014,1709.79,69.39,23.1,1.07,10.48,21.7,19832.66
Infosys,Metals,2020,1504.52,215.25,14.22,0.87,17.99,11.82,32370.28
Axis Bank,IT,2018,949.2,241.28,19.67,0.66,20.07,16.78,9357.86
Infosys,Finance,2022,1303.61,275.22,15.47,0.52,21.7,28.57,33237.29
Wipro,IT,2021,1214.52,82.49,25.72,1.03,18.98,16.82,19339.95
Axis Bank,Energy,2010,1296.96,71.23,24.82,0.9,14.81,29.87,43393.79
Wipro,Finance,2022,2038.1,320.21,19.43,0.8,24.29,0.92,35462.8
Reliance,Automobile,2014,1836.64,134.25,15.32,0.5,33.06,23.77,30963.33
ICICI,Automobile,2020,1632.27,157.81,10.42,0.89,28.82,20.29,11411.35
TCS,IT,2010,1743.7,250.65,19.89,0.87,35.27,9.93,14524.03
HDFC,Energy,2017,932.37,106.46,19.04,1.19,22.99,26.41,23059.5
Tata Steel,Automobile,2016,1718.46,178.73,22.29,0.44,37.59,14.76,27254.47
HDFC,Metals,2014,1781.89,271.34,10.67,0.59,12.24,21.62,48345.16
Mahindra,Finance,2015,828.08,86.31,18.71,1.38,38.11,13.09,33555.07
Mahindra,Metals,2013,1729.57,160.0,20.14,0.86,35.92,16.43,25402.37
Reliance,Automobile,2018,1072.78,109.86,13.49,0.88,9.22,24.94,47700.71
ICICI,Automobile,2023,909.0,138.09,18.58,1.09,29.68,36.47,28917.59
Mahindra,IT,2012,1897.9,294.85,14.37,1.34,23.74,13.72,35213.82
Infosys,IT,2011,1197.89,312.41,13.87,0.45,23.94,28.75,48644.42
SBI,Finance,2016,1285.22,220.63,15.35,1.45,25.66,29.38,38598.88
Wipro,IT,2022,1796.88,242.58,16.67,0.79,18.81,24.46,35309.19
Mahindra,Energy,2011,1408.43,240.39,24.19,0.88,34.39,25.37,36974.86
Reliance,Finance,2022,1445.95,146.21,16.39,0.82,25.04,15.05,29216.73
Wipro,Energy,2015,1439.37,219.05,13.77,1.25,13.75,13.21,30499.09
Infosys,IT,2020,1604.28,96.38,22.06,1.09,24.62,16.69,10985.83
ICICI,Finance,2017,1432.1,123.31,23.14,0.76,20.26,21.87,21494.35
TCS,Automobile,2012,1534.24,193.06,22.1,0.46,31.16,17.89,29417.38
HDFC,Metals,2012,1348.93,115.12,24.85,0.73,11.85,14.77,35561.82
Infosys,Automobile,2012,1605.55,98.18,18.96,0.4,45.03,15.08,24790.63
Tata Steel,Energy,2010,1594.15,143.05,18.78,1.07,26.21,17.87,58672.5
Axis Bank,Automobile,2018,2069.37,291.71,14.48,0.6,12.64,26.02,39433.32
Reliance,Automobile,2014,1385.62,324.57,25.0,0.77,22.98,12.45,32964.61
HDFC,Metals,2018,1444.75,197.4,17.54,1.15,20.17,23.96,12659.0
Tata Steel,Metals,2014,1571.65,246.58,16.48,1.04,17.05,23.68,29310.09
TCS,Automobile,2016,1789.33,154.92,16.03,0.91,29.25,16.34,36131.34
Tata Steel,Metals,2010,1172.52,34.75,21.18,0.56,47.3,22.07,28879.42
ICICI,Automobile,2018,1531.07,128.52,18.42,0.95,43.69,28.3,28398.6
Axis Bank,Finance,2010,747.65,175.33,18.95,0.56,27.01,17.73,28111.66
Wipro,Automobile,2013,1418.54,211.28,16.38,0.95,17.19,14.59,21563.52
HDFC,IT,2016,1821.82,191.92,17.01,0.41,27.8,13.26,14997.42
Axis Bank,Metals,2020,1282.16,177.47,17.26,1.16,32.38,14.09,56212.6
SBI,Metals,2021,1553.05,154.03,25.11,0.86,27.04,25.54,17966.14
Infosys,Energy,2018,1341.33,227.51,8.99,0.8,32.45,19.6,24390.34
SBI,Energy,2010,1242.18,90.89,20.24,0.92,29.44,8.79,33043.25
Infosys,IT,2021,1791.45,264.17,23.44,0.77,27.85,28.78,5328.82
ICICI,Metals,2023,1186.42,153.09,8.81,0.82,12.84,18.74,48640.98
Axis Bank,Metals,2022,1587.89,365.37,17.64,1.19,23.7,23.36,44036.08
TCS,Energy,2020,1592.51,174.77,22.91,1.12,44.11,24.21,11959.05
Mahindra,Energy,2022,1244.46,161.59,14.24,1.01,29.9,14.16,26121.92
Tata Steel,Automobile,2015,1546.71,154.99,19.34,0.88,36.68,11.39,41475.28
Mahindra,Metals,2020,1219.52,162.38,13.34,0.71,45.11,13.23,29728.41
Axis Bank,Metals,2019,1656.54,248.58,18.17,1.12,13.21,18.63,41995.61
SBI,Automobile,2020,1105.52,196.62,24.39,0.53,50.99,23.06,48327.4
Mahindra,Metals,2014,1398.12,278.97,26.48,1.34,34.73,33.04,20048.35
Reliance,IT,2012,1424.17,237.15,19.28,1.01,36.62,26.28,35607.62
Mahindra,Energy,2019,1833.89,202.52,11.61,1.15,18.3,6.25,15554.13
Infosys,Energy,2011,1542.01,229.84,16.45,0.94,32.24,18.93,24425.16
Reliance,Energy,2010,1786.5,295.71,8.93,0.76,16.99,4.08,30829.8
HDFC,Finance,2011,1666.41,252.54,16.53,1.08,26.5,26.72,31756.65
Mahindra,IT,2021,1664.49,222.44,22.82,0.38,28.37,18.61,19805.87
Reliance,IT,2022,1400.42,233.82,,0.62,22.61,20.25,37155.33
Axis Bank,Automobile,2013,1806.27,107.79,16.96,0.74,36.51,18.35,12380.22
Tata Steel,Finance,2015,1393.15,405.74,13.92,0.39,19.8,20.53,19425.98
HDFC,Metals,2021,981.05,242.25,26.97,0.99,4.88,15.2,42867.54
TCS,IT,2014,1435.56,250.23,19.99,1.18,22.56,20.69,20414.82
TCS,Finance,2023,1636.04,197.7,22.25,0.29,37.54,13.35,33259.5
ICICI,Finance,2013,1018.01,16.19,19.46,0.68,49.56,22.04,49616.19
Mahindra,IT,2017,1234.47,178.77,21.8,0.75,38.16,21.89,29782.18
Tata Steel,Automobile,2021,1130.82,206.08,23.4,0.9,35.67,23.35,46125.7
Wipro,Finance,2016,1736.02,134.17,18.19,1.06,21.21,19.31,13746.54
Reliance,Energy,2023,2001.86,133.48,15.34,0.72,48.03,27.27,22921.04
HDFC,Finance,2013,1437.09,172.86,13.32,1.08,31.84,32.73,32652.28
Axis Bank,Metals,2019,1659.46,261.72,26.79,0.83,32.23,9.26,17622.29
Mahindra,IT,2022,1651.66,300.46,22.1,0.62,31.28,11.13,24444.92
Axis Bank,Metals,2022,1966.14,213.68,6.88,0.87,13.42,18.8,31733.99
Wipro,Automobile,2014,1304.23,154.61,16.78,0.42,28.84,16.84,32011.4
ICICI,Energy,2021,1434.04,171.01,20.08,0.72,10.45,23.32,26240.84
Wipro,IT,2019,1397.77,207.96,26.36,0.75,33.27,23.33,8017.98
Infosys,Finance,2014,1522.61,217.44,12.49,0.62,28.36,22.1,22239.4
SBI,Energy,2012,2251.3,234.8,20.13,1.56,18.68,8.38,13176.63
HDFC,Finance,2022,1509.24,164.85,16.0,1.19,36.26,21.37,29094.3
SBI,Automobile,2018,1243.59,242.34,12.02,0.86,21.42,32.96,29512.29
Wipro,IT,2020,1153.65,236.02,24.73,0.93,21.66,23.61,28479.16
ICICI,Automobile,2014,1875.79,168.39,13.18,0.96,30.34,19.53,18680.18
ICICI,Automobile,2021,1242.22,62.44,22.85,0.99,24.84,24.33,9920.41
TCS,Automobile,2022,1699.08,129.21,10.03,1.27,27.33,13.95,47145.98
Mahindra,Automobile,2019,1296.09,325.41,15.55,1.08,35.32,22.92,30233.0
TCS,Finance,2011,1119.99,64.51,20.86,0.2,17.62,19.85,26244.78
HDFC,Metals,2022,1681.56,305.4,21.58,1.05,16.77,11.99,29192.77
HDFC,Finance,2013,1310.78,61.71,20.18,0.55,22.67,21.72,13904.82
HDFC,Energy,2021,1627.63,138.15,22.93,0.63,24.37,20.31,45459.97
Axis Bank,Automobile,2013,1649.78,170.02,16.56,1.09,31.42,25.65,21421.66
TCS,Energy,2014,1663.88,342.58,24.96,0.24,44.42,20.93,28644.79
Axis Bank,Finance,2017,1419.56,202.09,19.78,1.31,24.57,21.44,35829.97
SBI,Automobile,2014,1705.86,182.88,21.67,1.05,25.36,21.04,38608.64
Mahindra,Finance,2010,1223.24,125.17,19.82,0.9,18.48,20.94,29716.11
Wipro,Automobile,2011,763.77,241.76,20.46,1.05,17.27,27.98,17629.69
Reliance,Finance,2012,1712.07,158.98,12.99,1.14,31.77,25.01,37182.57
TCS,IT,2012,1549.68,181.68,13.29,0.87,25.39,13.43,40200.37
Reliance,Metals,2019,1316.98,171.33,15.29,1.03,37.47,19.12,44072.85
ICICI,Metals,2015,1058.65,257.59,20.57,0.51,36.38,10.14,36513.85
TCS,Automobile,2018,889.03,260.94,15.06,1.04,33.69,30.44,55143.15
SBI,IT,2019,1515.52,128.77,16.52,0.98,10.39,15.12,31785.97
TCS,Energy,2010,1994.64,149.82,17.64,1.23,31.83,14.68,32396.72
Axis Bank,IT,2015,1458.43,141.93,25.09,0.85,15.65,32.78,44753.52
Mahindra,Automobile,2018,1391.6,214.67,21.01,0.89,6.16,15.83,49331.67
Wipro,IT,2013,1492.69,272.54,10.69,0.52,27.21,13.35,46663.08
Tata Steel,Energy,2019,2153.76,215.73,18.8,0.8,38.58,24.61,29037.17
Wipro,Automobile,2012,1725.57,24.75,16.48,0.98,32.12,19.94,39160.61
Wipro,Metals,2022,1219.93,260.78,16.86,1.01,16.18,13.74,42753.28
ICICI,IT,2015,1508.43,92.08,18.0,1.31,52.96,22.36,30738.8
SBI,Metals,2015,1599.73,142.78,23.63,0.94,33.17,24.39,19819.71
Reliance,Metals,2022,1183.1,215.87,13.93,0.77,16.58,26.04,17962.94
SBI,Finance,2011,1727.74,193.29,19.02,0.97,4.54,21.78,34522.04
Tata Steel,Energy,2014,1254.66,269.82,19.45,0.63,22.95,26.21,40518.83
ICICI,IT,2010,1046.72,151.14,16.89,1.2,5.36,25.93,24502.15
Mahindra,Metals,2022,1522.84,122.67,14.81,0.59,14.7,16.76,20816.76
Wipro,Metals,2018,1475.35,175.07,14.22,0.68,8.01,31.95,23813.78
Axis Bank,Energy,2018,1499.69,278.16,15.9,0.48,17.46,24.56,31798.89
ICICI,Metals,2012,1270.61,250.37,21.69,0.82,19.66,29.76,39352.08
HDFC,Metals,2014,1312.47,206.97,16.21,0.99,16.26,19.03,34473.98
TCS,Metals,2012,1838.53,306.08,17.5,1.3,48.0,25.93,30079.22
SBI,Metals,2016,1632.33,291.59,12.22,0.78,23.13,21.91,46678.51
ICICI,Finance,2022,1212.98,263.08,15.63,0.73,38.28,26.79,62678.22
HDFC,Finance,2010,914.79,105.76,19.15,-0.0,30.69,17.07,30141.93
Reliance,Automobile,2014,1225.68,262.66,9.66,0.87,22.93,16.11,49288.64
Tata Steel,IT,2015,1547.19,183.81,23.22,0.81,20.22,28.63,21753.15
Tata Steel,Energy,2023,1310.42,168.4,15.04,0.8,38.51,21.7,43717.47
Wipro,Automobile,2020,1287.1,145.4,26.81,1.25,14.64,26.88,20129.84
Wipro,Finance,2021,1323.25,186.26,20.1,0.96,18.73,10.12,25751.31
ICICI,Finance,2023,1478.19,149.94,8.83,0.68,18.58,14.36,29515.75
ICICI,Finance,2016,1735.39,213.58,19.39,0.53,25.75,16.34,6927.93
Mahindra,Automobile,2012,1499.87,186.16,16.41,0.45,15.91,29.09,8129.54
TCS,Finance,2016,1518.58,217.64,19.45,0.67,34.37,28.82,19791.49
Infosys,Automobile,2013,1432.54,244.26,26.08,0.91,35.75,20.61,45885.78
Reliance,Finance,2019,1350.19,176.45,21.52,0.17,17.82,23.37,27127.0
Wipro,Metals,2020,1768.27,141.02,16.87,0.76,30.27,21.18,40983.49
Infosys,Metals,2023,1722.72,39.49,11.02,1.04,16.6,13.02,10260.91
Infosys,IT,2015,2113.58,261.65,22.36,0.49,26.79,20.42,34318.57
TCS,Finance,2014,1683.17,206.3,20.55,0.75,36.7,13.68,35279.81
Axis Bank,IT,2013,1350.48,185.91,23.79,0.5,26.03,17.33,18481.34
Axis Bank,Automobile,2015,1228.6,293.75,17.29,-0.01,23.95,18.43,52342.76
Wipro,IT,2022,1785.88,96.92,19.48,0.56,47.88,31.56,14919.7
HDFC,Finance,2021,1255.5,204.5,16.77,0.48,28.6,21.1,27085.76
TCS,Automobile,2012,1742.92,122.88,18.43,1.03,16.57,17.15,59462.1
TCS,Automobile,2012,1272.03,252.48,10.43,0.94,15.79,24.3,18582.47
SBI,Metals,2014,1604.75,21.91,19.59,0.49,47.79,15.37,22544.58
Infosys,Automobile,2020,1182.07,264.32,19.91,1.19,17.59,38.6,31866.01
SBI,Automobile,2014,1733.97,261.01,15.48,1.02,17.99,23.01,14069.19
Infosys,IT,2018,1129.9,126.16,21.03,0.72,25.27,2.69,36200.04
Axis Bank,Automobile,2013,1581.89,205.31,22.36,0.9,32.32,14.37,8631.49
Wipro,Energy,2014,1440.65,127.88,25.0,0.52,12.59,32.61,30011.58
Reliance,Metals,2021,1530.54,234.21,12.9,0.06,22.21,21.04,47358.64
Axis Bank,Metals,2018,1381.26,265.62,21.35,0.83,11.59,16.69,37686.94
TCS,Automobile,2013,1374.22,119.6,24.69,0.39,23.47,22.84,29508.03
Reliance,IT,2022,1546.43,96.26,16.25,0.73,33.22,8.87,26140.01
ICICI,Metals,2012,1199.36,287.71,24.97,0.92,22.49,13.2,28981.73
Reliance,Metals,2016,1197.59,355.29,14.37,0.22,44.69,10.15,26552.79
Reliance,Energy,2016,1392.44,239.56,18.35,0.86,16.53,17.43,34775.06
Axis Bank,Automobile,2017,1380.76,245.48,9.36,1.05,27.18,31.26,37737.61
TCS,Metals,2013,1198.38,173.44,8.66,0.18,38.07,24.18,31722.41
Reliance,Metals,2013,1777.26,214.4,10.23,1.01,35.09,23.35,38411.04
Axis Bank,Metals,2023,1399.66,228.06,25.09,1.37,51.43,15.38,36166.65
Axis Bank,Metals,2023,1432.0,185.39,14.12,0.72,28.24,25.46,15046.53
Reliance,IT,2018,1101.74,307.99,14.13,1.02,16.05,14.57,1975.25
Infosys,Finance,2019,2121.49,214.14,20.04,0.5,25.84,18.57,32068.86
TCS,Energy,2016,2228.12,224.45,14.28,1.08,16.62,25.28,24596.81
Tata Steel,IT,2012,1265.88,187.04,24.02,0.95,26.21,19.43,32433.92
Reliance,Energy,2022,1867.83,195.17,27.32,0.87,37.34,26.4,50062.22
SBI,Metals,2018,1472.46,297.5,6.89,0.85,31.97,18.6,26782.68
SBI,Energy,2022,1981.13,211.67,20.6,0.92,23.96,29.51,33728.79
ICICI,Automobile,2014,1600.87,213.54,7.7,0.78,18.13,22.92,19854.75
TCS,Automobile,2013,1529.93,214.58,11.2,0.51,28.25,13.83,35901.06
Axis Bank,Finance,2010,750.22,170.84,20.39,0.76,30.3,16.2,20624.47
Mahindra,Finance,2018,1236.42,87.36,13.28,0.79,12.46,18.44,42009.89
Wipro,Energy,2015,1506.16,325.81,19.3,0.45,14.81,26.7,31474.0
HDFC,IT,2020,1559.6,285.46,18.16,0.77,22.1,32.86,28251.19
Mahindra,IT,2011,1135.55,299.92,9.76,0.78,11.68,9.59,10347.72
TCS,Metals,2022,1281.37,114.2,21.29,0.64,6.89,17.3,13524.17
TCS,IT,2016,1666.03,315.59,19.49,0.91,14.69,28.58,36960.21
Reliance,Finance,2012,1085.04,357.35,18.19,0.98,28.83,19.61,43957.07
Reliance,IT,2015,1540.12,283.59,14.76,0.6,26.02,18.91,32897.91
Mahindra,Metals,2017,1871.39,331.83,,0.84,20.55,24.02,27266.26
Axis Bank,Automobile,2012,1615.64,263.83,11.53,1.07,15.64,10.57,30579.95
ICICI,IT,2022,1600.65,132.27,12.96,0.5,28.69,24.25,28281.17
Reliance,IT,2021,893.95,240.61,19.6,0.3,28.16,22.14,21560.17
HDFC,Finance,2021,1253.43,118.37,23.15,0.52,37.43,21.38,13786.56
HDFC,Energy,2014,2116.26,152.21,15.61,0.96,-0.11,27.56,13902.79
ICICI,Automobile,2023,1320.25,225.3,20.29,0.66,7.54,19.52,21753.96
Infosys,Energy,2015,1879.34,214.56,19.02,0.43,34.38,20.28,31109.99
Infosys,Metals,2010,1316.75,237.05,20.07,1.18,29.74,21.26,14055.56
TCS,Metals,2019,1416.65,56.63,14.54,0.45,34.34,5.67,29121.16
Reliance,Energy,2016,1654.68,187.66,17.25,0.75,16.08,27.34,20987.1
SBI,Finance,2013,1530.21,243.92,17.81,1.02,21.11,24.16,9943.77
Mahindra,Finance,2019,1614.45,259.87,25.49,1.0,12.22,23.78,22292.26
Tata Steel,Finance,2020,1254.48,265.1,12.48,0.93,1.65,22.38,32840.64
ICICI,Automobile,2016,1159.12,220.1,10.98,0.6,26.4,29.51,22428.93
TCS,Metals,2016,1234.24,169.66,33.0,0.97,39.16,21.49,47728.99
SBI,Metals,2020,1340.3,240.12,19.54,0.8,23.32,18.5,37483.59
Reliance,Metals,2014,1431.22,176.02,20.74,0.92,17.84,7.86,42653.91
SBI,Automobile,2017,1811.18,272.08,,1.21,13.8,11.11,67277.64
SBI,Metals,2017,1526.2,234.18,21.86,0.44,36.14,17.87,23134.3
ICICI,Energy,2014,1645.38,195.06,22.49,0.92,25.81,20.7,12799.99
TCS,IT,2014,1542.48,138.48,21.88,0.84,26.21,15.87,20581.32
Axis Bank,Automobile,2016,1165.37,289.56,23.64,1.08,10.56,18.39,30796.7
HDFC,IT,2015,1505.18,244.72,18.84,1.33,15.83,13.67,34707.11
Mahindra,Energy,2013,1539.23,368.24,23.36,1.32,32.35,26.61,32224.32
TCS,Finance,2011,1727.98,242.1,27.46,1.05,19.74,18.01,24632.41
Tata Steel,Finance,2017,1179.42,248.79,18.98,0.62,18.48,28.25,34959.38
SBI,Finance,2012,887.88,82.78,20.4,0.67,50.1,18.16,43702.21
Axis Bank,Automobile,2011,1552.88,224.84,15.1,1.02,25.7,22.53,20967.93
ICICI,Finance,2021,1606.16,174.68,17.18,0.41,23.28,23.28,18838.72
Wipro,Automobile,2019,1446.18,266.11,19.76,0.73,23.64,21.12,53570.7
Mahindra,Automobile,2016,1508.41,,16.05,0.58,18.22,12.27,16493.09
Mahindra,IT,2019,1763.63,278.82,18.46,0.45,24.27,17.61,40163.23
HDFC,Finance,2015,1362.36,370.61,19.71,0.87,44.4,5.46,27639.83
Wipro,Metals,2017,1416.41,136.13,25.6,1.04,29.13,31.5,47831.06
Reliance,Finance,2022,1523.71,275.74,13.68,0.98,9.05,-3.52,26526.43
Wipro,Finance,2023,1134.06,254.69,20.1,0.84,20.63,25.89,34770.02
SBI,Finance,2015,1454.43,358.34,14.98,0.69,26.04,20.76,14239.22
SBI,Metals,2016,1480.88,256.43,21.83,0.64,9.94,7.84,21862.54
SBI,Metals,2011,1991.11,248.11,22.23,1.06,20.32,21.82,32955.46
SBI,Automobile,2019,1410.57,268.12,26.39,0.65,15.39,12.25,22003.72
TCS,Metals,2023,1560.0,273.7,15.87,0.64,21.04,23.03,14568.9
Mahindra,Automobile,2011,1775.59,316.35,18.73,0.92,25.7,19.6,55492.32
Wipro,IT,2015,1248.75,134.45,22.02,0.51,31.99,21.61,29757.79
Mahindra,Automobile,2018,1912.72,168.61,21.29,0.83,13.46,17.42,43751.59
Tata Steel,Finance,2023,2029.16,338.82,5.56,0.64,24.14,29.31,52881.68
Wipro,Energy,2012,1491.33,43.3,14.56,0.6,21.73,12.89,23727.41
TCS,Energy,2020,1338.17,193.22,20.85,0.73,22.8,15.28,28976.19
Tata Steel,Finance,2019,1988.14,211.96,16.95,1.03,16.81,18.8,30922.9
Mahindra,Automobile,2023,1738.69,185.85,22.06,0.85,24.53,19.28,35655.41
Tata Steel,Finance,2023,1524.59,326.48,23.21,0.89,29.94,12.08,43404.19
HDFC,Metals,2022,1928.05,238.08,16.93,1.03,11.08,6.03,41712.56
Tata Steel,Automobile,2017,1896.3,169.01,21.0,0.99,42.28,22.49,38635.05
Wipro,Finance,2014,1399.12,149.25,25.28,0.75,34.42,22.29,26144.06
SBI,Metals,2022,1574.62,222.55,23.09,0.97,9.25,31.92,29903.74
SBI,Metals,2015,1673.04,293.28,14.15,0.75,39.47,28.76,14960.76
Reliance,Automobile,2015,1508.62,211.07,17.07,0.93,40.15,20.46,38550.66
Mahindra,IT,2020,1082.74,189.25,18.14,1.11,19.97,15.27,57733.58
HDFC,IT,2021,1218.52,144.38,13.32,0.96,27.06,27.9,33146.91
Wipro,Metals,2019,1092.52,229.92,23.35,0.43,25.9,14.06,46763.96
Wipro,IT,2020,1647.88,225.49,14.78,0.65,11.23,26.25,40058.19
ICICI,Metals,2022,1144.69,142.06,17.49,0.99,35.27,9.96,23461.79
Infosys,IT,2012,,282.11,23.36,0.15,6.19,33.76,19381.08
Mahindra,Metals,2020,2049.57,336.48,15.75,0.9,27.89,12.52,16343.49
Wipro,Metals,2020,1928.33,203.92,16.32,0.88,40.68,13.07,31450.33
Axis Bank,Metals,2014,948.78,224.17,19.69,1.62,8.11,6.65,36677.95
Wipro,Metals,2021,1116.39,111.61,15.96,0.93,22.07,17.22,37305.41
ICICI,Energy,2010,1267.05,258.98,25.66,0.77,36.4,23.05,16366.15
Tata Steel,IT,2011,1149.29,237.13,13.42,1.15,29.02,15.82,44798.67
TCS,Metals,2019,1003.86,173.91,6.53,0.7,33.33,13.78,23348.61
TCS,Finance,2012,1496.75,140.52,22.21,0.81,18.13,9.86,31477.25
Axis Bank,Automobile,2013,1711.53,347.81,16.21,0.83,15.59,21.96,22289.75
Axis Bank,Finance,2022,1786.21,230.62,13.96,0.98,23.0,24.87,15803.61
Reliance,Finance,2018,1357.66,126.59,19.92,0.52,27.65,21.15,14873.83
TCS,Energy,2010,1418.43,268.44,20.1,1.05,31.0,24.85,38530.59
Tata Steel,IT,2012,1606.7,218.37,14.19,0.64,29.45,11.49,29872.26
TCS,Energy,2012,1467.45,204.71,23.93,1.42,34.79,15.57,16799.54
Infosys,IT,2022,1743.18,278.28,22.31,0.35,26.16,18.6,22550.74
Mahindra,Metals,2022,1629.11,-9.02,27.87,0.57,14.52,28.94,47078.95
TCS,Energy,2015,1387.11,55.44,15.71,0.19,11.45,28.9,40581.07
SBI,Automobile,2014,943.01,310.34,18.78,1.69,32.58,25.55,37364.79
Reliance,IT,2012,1949.71,189.69,19.17,0.43,35.06,25.38,55322.06
ICICI,Energy,2013,1294.18,165.86,16.37,1.03,44.71,14.48,48034.43
Axis Bank,Automobile,2020,1607.27,92.98,20.02,1.02,49.24,20.72,30433.45
Infosys,Finance,2016,925.02,215.51,20.39,0.53,34.72,8.33,23486.77
Axis Bank,Metals,2012,1496.61,225.38,20.39,1.03,28.67,25.38,61021.49
Reliance,Metals,2018,1530.08,315.27,16.37,0.48,20.8,18.25,44469.63
Wipro,Finance,2017,1544.58,229.8,16.95,0.56,16.26,34.29,23459.46
Infosys,Energy,2022,2404.14,175.78,15.16,0.33,25.67,21.83,14024.02
HDFC,Finance,2011,1310.66,232.45,14.25,1.0,23.95,14.71,3040.84
Infosys,Automobile,2014,1746.2,288.76,17.68,0.21,44.05,18.08,14645.27
Reliance,IT,2023,1656.97,271.3,25.58,0.92,30.86,15.58,24225.57
ICICI,Energy,2013,1296.41,249.71,28.2,0.76,22.7,15.93,46068.06
Infosys,IT,2021,1741.7,221.97,24.57,1.32,16.18,19.84,41875.99
Reliance,Finance,2022,1450.7,153.49,15.68,0.81,30.34,13.09,33221.47
Tata Steel,Metals,2014,1762.57,117.38,20.04,1.05,26.38,19.59,37384.44
Mahindra,IT,2012,2088.29,104.72,7.77,0.95,20.49,6.18,20624.47
TCS,IT,2019,1545.24,231.52,17.22,0.77,18.14,21.12,14308.35
Tata Steel,Metals,2020,1415.66,239.86,16.06,1.13,30.49,14.68,27225.82
Reliance,IT,2010,1815.47,287.54,27.37,0.91,20.93,10.56,41850.97
SBI,IT,2017,1919.0,244.94,19.3,1.07,21.77,25.07,30543.93
Wipro,Metals,2018,1235.02,284.07,18.25,0.52,20.15,7.62,38511.3
TCS,Metals,2017,1364.11,189.56,17.66,0.96,53.34,24.37,30440.72
SBI,Finance,2013,1702.63,261.67,16.55,1.04,26.58,23.28,14423.86
ICICI,Finance,2021,1460.39,119.88,20.66,0.47,16.77,13.76,33454.42
Axis Bank,IT,2011,1213.7,195.19,14.69,0.78,-0.73,18.08,25389.91
HDFC,Energy,2013,1662.21,53.48,20.75,0.28,8.59,21.86,43014.06
TCS,Finance,2023,1701.45,202.53,25.16,0.32,22.07,21.62,11033.16
